iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
99,20614.29,633,0.28398,11.02,99.33,158.47,238.94,331.49,434.03,926.52,255449.08,632,5.92,0.07,2.66,3.94,6.04,8.04,9.20,9.99
100,22792.08,714,0.28623,11.02,100.00,154.45,240.53,338.79,428.71,926.52,255009.92,631,5.93,0.00,2.66,3.95,6.05,8.04,9.20,9.99
101,23932.43,735,0.28980,11.02,96.03,152.14,240.81,338.60,436.25,926.52,254384.57,631,5.93,0.00,2.69,3.98,6.07,8.04,9.20,9.99
102,21861.38,689,0.28507,11.02,99.94,153.54,243.00,333.13,440.21,926.52,254774.74,631,5.94,0.00,2.68,4.00,6.08,8.05,9.21,9.99
103,21982.84,677,0.28471,11.02,100.56,157.47,239.90,333.72,434.36,926.52,255439.75,630,5.95,0.00,2.70,4.02,6.10,8.05,9.21,9.99
104,22032.25,688,0.28247,11.02,102.25,159.95,238.75,336.37,431.01,926.52,255418.09,629,5.97,0.00,2.71,4.07,6.12,8.06,9.22,9.99
105,24493.39,727,0.28446,11.02,100.77,158.82,236.61,334.63,433.70,926.52,255581.97,629,5.98,0.00,2.74,4.08,6.14,8.06,9.22,9.99
106,21642.43,676,0.28559,11.02,99.77,157.85,236.50,329.84,447.20,926.52,255901.29,628,5.98,0.00,2.74,4.12,6.15,8.07,9.23,9.99
107,21313.98,672,0.28675,11.02,101.34,157.92,238.70,331.20,445.35,926.52,256745.14,628,5.99,0.00,2.78,4.13,6.17,8.07,9.23,9.99
108,22207.37,687,0.28773,11.02,100.00,157.41,237.11,343.44,439.21,926.52,257021.15,627,5.99,0.00,2.80,4.16,6.18,8.01,9.23,9.99
109,23875.96,739,0.28933,11.02,98.72,155.06,236.49,338.79,430.82,926.52,256179.99,624,5.98,0.00,2.79,4.17,6.18,8.02,9.23,9.99
110,23667.53,731,0.28645,11.02,102.84,155.63,239.09,339.93,434.94,926.52,256805.83,624,5.99,0.00,2.83,4.21,6.21,8.02,9.24,9.99
111,25383.46,779,0.28473,11.02,99.59,158.85,238.70,339.02,437.08,926.52,256603.30,622,6.00,0.00,2.82,4.24,6.21,8.03,9.24,9.99
112,23803.80,740,0.28442,11.02,103.89,157.68,238.86,334.06,434.67,926.52,256537.10,623,6.01,0.00,2.85,4.27,6.22,8.04,9.25,9.99
113,22489.13,683,0.28503,11.02,99.59,159.58,242.66,336.49,432.69,926.52,257017.52,623,6.02,0.00,2.88,4.29,6.24,8.05,9.25,9.99
114,24851.90,766,0.28458,11.02,102.93,157.68,244.18,334.47,439.87,926.52,257475.75,625,6.03,0.00,2.88,4.32,6.25,8.06,9.25,9.99
115,21428.85,665,0.28710,11.02,100.55,157.68,238.86,338.79,426.18,926.52,257623.33,624,6.03,0.00,2.85,4.34,6.26,8.05,9.23,9.99
116,24214.09,752,0.29001,11.02,100.82,155.67,238.04,337.76,439.10,926.52,257577.78,621,6.03,0.00,2.86,4.35,6.27,8.05,9.23,9.99
117,21729.20,712,0.28710,11.02,100.00,156.49,241.95,336.73,441.93,926.52,258408.84,619,6.03,0.00,2.87,4.38,6.28,8.04,9.23,9.99
118,20412.21,634,0.28655,11.02,100.00,157.72,242.99,338.79,437.90,1389.31,258984.46,616,6.02,0.00,2.81,4.39,6.28,8.03,9.23,9.99
119,23135.18,740,0.29027,11.02,100.56,156.23,239.65,338.79,437.90,1389.31,259187.51,617,6.03,0.00,2.84,4.42,6.29,8.04,9.23,9.99
120,21873.67,689,0.28948,11.02,99.16,156.09,242.78,338.16,440.52,1389.31,259468.34,618,6.03,0.00,2.81,4.43,6.30,8.04,9.23,9.99
