iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
153,511.31,89,0.34466,9.58,31.82,51.74,100.86,164.77,208.00,518.81,113381.26,489,5.00,0.00,2.25,3.30,3.58,7.08,8.76,9.99
154,434.78,74,0.34481,9.58,31.92,51.77,100.59,164.87,210.00,518.81,113617.50,491,5.01,0.03,2.29,3.31,3.61,7.09,8.76,9.99
155,463.08,75,0.34377,9.58,31.99,52.48,100.88,164.51,210.41,518.81,113708.89,491,5.01,0.00,2.26,3.33,3.61,7.10,8.76,9.99
156,430.58,69,0.34372,9.58,32.20,52.42,101.04,163.29,210.03,518.81,113938.40,491,5.02,0.01,2.29,3.35,3.62,7.10,8.76,9.99
157,538.13,86,0.34354,9.58,32.51,52.73,101.02,163.77,210.70,518.81,114148.70,492,5.04,0.02,2.32,3.37,3.64,7.11,8.77,9.99
158,580.11,92,0.34340,9.58,32.51,52.73,101.86,164.38,209.76,518.81,114349.59,493,5.05,0.06,2.34,3.39,3.66,7.12,8.78,9.99
159,370.67,64,0.34377,9.58,31.99,53.23,101.23,164.06,209.52,518.81,114557.31,492,5.05,0.00,2.35,3.40,3.68,7.13,8.78,9.99
160,508.48,80,0.34232,9.58,32.79,53.83,101.28,163.33,209.55,518.81,114632.65,492,5.06,0.00,2.36,3.42,3.69,7.10,8.76,9.99
161,553.62,98,0.34273,9.58,32.79,53.65,101.11,165.71,210.12,518.81,114707.52,492,5.07,0.00,2.38,3.44,3.70,7.10,8.77,9.99
162,346.65,57,0.34222,9.58,32.79,53.83,102.42,166.25,210.31,518.81,114918.46,492,5.08,0.03,2.40,3.45,3.72,7.11,8.77,9.99
163,341.40,59,0.34232,9.58,32.79,53.72,102.42,165.44,211.22,518.81,115119.72,492,5.09,0.04,2.43,3.47,3.73,7.12,8.77,9.99
164,369.29,58,0.34135,12.26,32.83,54.17,102.00,165.54,212.18,518.81,115311.16,491,5.10,0.00,2.45,3.49,3.75,7.12,8.78,9.99
165,380.80,67,0.34074,12.26,32.83,54.37,102.00,166.32,210.88,518.81,115509.08,491,5.09,0.00,2.45,3.50,3.76,7.11,8.76,9.99
166,456.09,73,0.33998,12.26,32.93,54.63,101.96,166.56,210.57,518.81,115664.97,489,5.08,0.00,2.42,3.52,3.77,7.10,8.72,9.99
167,519.97,89,0.33857,12.26,33.01,54.99,103.39,165.30,210.10,518.81,115837.10,489,5.08,0.00,2.43,3.53,3.79,7.11,8.72,9.99
168,404.20,69,0.33844,12.26,33.01,55.30,103.10,165.63,209.14,518.81,116083.94,490,5.10,0.05,2.44,3.55,3.81,7.12,8.72,9.99
